ProbeFileID|JournalName|StartNodeID|EndNodeID|Sequence|BitPlane
003dc63ebf87560a5cba93d56a2a06ca|e81e22060055956b5c07af8c83d969be|e81e22060055956b5c07af8c83d969be|e81e22060055956b5c07af8c83d969be_01|1|
004132f19c278883758701879ebc98eb|edbea1b42ec23ad91122b3c4e081c41c|edbea1b42ec23ad91122b3c4e081c41c-01|edbea1b42ec23ad91122b3c4e081c41c-02CA|5|1
004132f19c278883758701879ebc98eb|edbea1b42ec23ad91122b3c4e081c41c|edbea1b42ec23ad91122b3c4e081c41c-02CA|edbea1b42ec23ad91122b3c4e081c41c-03heal|4|2
004132f19c278883758701879ebc98eb|edbea1b42ec23ad91122b3c4e081c41c|edbea1b42ec23ad91122b3c4e081c41c-03heal|edbea1b42ec23ad91122b3c4e081c41c-04clone|3|3
004132f19c278883758701879ebc98eb|edbea1b42ec23ad91122b3c4e081c41c|edbea1b42ec23ad91122b3c4e081c41c-04clone|edbea1b42ec23ad91122b3c4e081c41c-05blur|2|4
004132f19c278883758701879ebc98eb|edbea1b42ec23ad91122b3c4e081c41c|edbea1b42ec23ad91122b3c4e081c41c-05blur|edbea1b42ec23ad91122b3c4e081c41c-05blur_59|1|
004132f19c278883758701879ebc98eb|edbea1b42ec23ad91122b3c4e081c41c|edbea1b42ec23ad91122b3c4e081c41c|edbea1b42ec23ad91122b3c4e081c41c-01|6|
00430c9ccad8a1592b1492e70cd6aacd|a61708f3eba0d442865db12d9c1fc699|a61708f3eba0d442865db12d9c1fc699|a61708f3eba0d442865db12d9c1fc699_01|1|
0051ce0ccf7f518d061ba6262cb58f21|4dcc89687740fb22dd0398e32cad1d1f|4dcc89687740fb22dd0398e32cad1d1f-01|4dcc89687740fb22dd0398e32cad1d1f-02clone_remove|7|1
0051ce0ccf7f518d061ba6262cb58f21|4dcc89687740fb22dd0398e32cad1d1f|4dcc89687740fb22dd0398e32cad1d1f-02clone_remove|4dcc89687740fb22dd0398e32cad1d1f-03clone|6|2
0051ce0ccf7f518d061ba6262cb58f21|4dcc89687740fb22dd0398e32cad1d1f|4dcc89687740fb22dd0398e32cad1d1f-03clone|4dcc89687740fb22dd0398e32cad1d1f-04CA|5|3
0051ce0ccf7f518d061ba6262cb58f21|4dcc89687740fb22dd0398e32cad1d1f|4dcc89687740fb22dd0398e32cad1d1f-04CA|4dcc89687740fb22dd0398e32cad1d1f-05clone|4|4
0051ce0ccf7f518d061ba6262cb58f21|4dcc89687740fb22dd0398e32cad1d1f|4dcc89687740fb22dd0398e32cad1d1f-05clone|4dcc89687740fb22dd0398e32cad1d1f-06clone_remove|3|5
0051ce0ccf7f518d061ba6262cb58f21|4dcc89687740fb22dd0398e32cad1d1f|4dcc89687740fb22dd0398e32cad1d1f-06clone_remove|4dcc89687740fb22dd0398e32cad1d1f-07heal_remove|2|6
0051ce0ccf7f518d061ba6262cb58f21|4dcc89687740fb22dd0398e32cad1d1f|4dcc89687740fb22dd0398e32cad1d1f-07heal_remove|4dcc89687740fb22dd0398e32cad1d1f-07heal_remove_69|1|
0051ce0ccf7f518d061ba6262cb58f21|4dcc89687740fb22dd0398e32cad1d1f|4dcc89687740fb22dd0398e32cad1d1f|4dcc89687740fb22dd0398e32cad1d1f-01|8|
005ecd61f52ae67865f02c02993fdc4b|0ebbb9d9e99759241adf6ac39e7915eb|0ebbb9d9e99759241adf6ac39e7915eb-01|0ebbb9d9e99759241adf6ac39e7915eb-SelectRegion02|5|1
005ecd61f52ae67865f02c02993fdc4b|0ebbb9d9e99759241adf6ac39e7915eb|0ebbb9d9e99759241adf6ac39e7915eb|0ebbb9d9e99759241adf6ac39e7915eb-01|6|
005ecd61f52ae67865f02c02993fdc4b|0ebbb9d9e99759241adf6ac39e7915eb|0ebbb9d9e99759241adf6ac39e7915eb-Curves04|0ebbb9d9e99759241adf6ac39e7915eb-PasteSampledRemove05|2|3
005ecd61f52ae67865f02c02993fdc4b|0ebbb9d9e99759241adf6ac39e7915eb|0ebbb9d9e99759241adf6ac39e7915eb-PasteSampledRemove05|0ebbb9d9e99759241adf6ac39e7915eb-PasteSampledRemove05_01|1|
005ecd61f52ae67865f02c02993fdc4b|0ebbb9d9e99759241adf6ac39e7915eb|0ebbb9d9e99759241adf6ac39e7915eb-Saturation03|0ebbb9d9e99759241adf6ac39e7915eb-Curves04|3|
005ecd61f52ae67865f02c02993fdc4b|0ebbb9d9e99759241adf6ac39e7915eb|0ebbb9d9e99759241adf6ac39e7915eb-SelectRegion02|0ebbb9d9e99759241adf6ac39e7915eb-Saturation03|4|2
0063baa6a8de47c88e1ee341a73143e3|a7dcfc6415c36d94153e94cf37812bf9|fec50575988db40a331d7cd006b191f3_02|fec50575988db40a331d7cd006b191f3_04|6|
